provider,plan,label,vcpu,ram_gb,disk_gb,arch,gpu,price_monthly,price_hourly,currency,vat_included,region,collection,source_url,verified_date
hetzner,CX23,Hetzner Cloud,2,4,40,x86,,5.49,,EUR,False,"DE/FI (Falkenstein, Nuremberg, Helsinki)",manual,https://docs.hetzner.com/general/infrastructure-and-availability/price-adjustment/,2026-08-03
hetzner,CAX11,Hetzner Cloud,2,4,40,arm64,,5.99,,EUR,False,"DE/FI (Falkenstein, Nuremberg, Helsinki)",manual,https://docs.hetzner.com/general/infrastructure-and-availability/price-adjustment/,2026-08-03
hetzner,CX33,Hetzner Cloud,4,8,80,x86,,8.49,,EUR,False,"DE/FI (Falkenstein, Nuremberg, Helsinki)",manual,https://docs.hetzner.com/general/infrastructure-and-availability/price-adjustment/,2026-08-03
hetzner,CAX21,Hetzner Cloud,4,8,80,arm64,,10.49,,EUR,False,"DE/FI (Falkenstein, Nuremberg, Helsinki)",manual,https://docs.hetzner.com/general/infrastructure-and-availability/price-adjustment/,2026-08-03
hetzner,CX43,Hetzner Cloud,8,16,160,x86,,15.99,,EUR,False,"DE/FI (Falkenstein, Nuremberg, Helsinki)",manual,https://docs.hetzner.com/general/infrastructure-and-availability/price-adjustment/,2026-08-03
hetzner,CPX22,Hetzner Cloud,2,4,80,x86,,19.49,,EUR,False,"DE/FI (Falkenstein, Nuremberg, Helsinki)",manual,https://docs.hetzner.com/general/infrastructure-and-availability/price-adjustment/,2026-08-03
hetzner,CX53,Hetzner Cloud,16,32,320,x86,,29.49,,EUR,False,"DE/FI (Falkenstein, Nuremberg, Helsinki)",manual,https://docs.hetzner.com/general/infrastructure-and-availability/price-adjustment/,2026-08-03
hetzner,CPX32,Hetzner Cloud,4,8,160,x86,,35.49,,EUR,False,"DE/FI (Falkenstein, Nuremberg, Helsinki)",manual,https://docs.hetzner.com/general/infrastructure-and-availability/price-adjustment/,2026-08-03
hetzner,CCX13,Hetzner Cloud,2,8,80,x86,,42.99,,EUR,False,"DE/FI (Falkenstein, Nuremberg, Helsinki)",manual,https://docs.hetzner.com/general/infrastructure-and-availability/price-adjustment/,2026-08-03
hetzner,CCX23,Hetzner Cloud,4,16,160,x86,,85.99,,EUR,False,"DE/FI (Falkenstein, Nuremberg, Helsinki)",manual,https://docs.hetzner.com/general/infrastructure-and-availability/price-adjustment/,2026-08-03
hetzner,CCX33,Hetzner Cloud,8,32,240,x86,,138.49,,EUR,False,"DE/FI (Falkenstein, Nuremberg, Helsinki)",manual,https://docs.hetzner.com/general/infrastructure-and-availability/price-adjustment/,2026-08-03
linode,g6-nanode-1,Nanode 1GB,1,1.0,25.0,x86,,5.0,0.0075,USD,False,global (base price; some regions cost more),api,https://api.linode.com/v4/linode/types,2026-08-31
linode,g6-standard-1,Linode 2GB,1,2.0,50.0,x86,,12.0,0.018,USD,False,global (base price; some regions cost more),api,https://api.linode.com/v4/linode/types,2026-08-31
linode,g6-standard-2,Linode 4GB,2,4.0,80.0,x86,,24.0,0.036,USD,False,global (base price; some regions cost more),api,https://api.linode.com/v4/linode/types,2026-08-31
linode,g6-dedicated-2,Dedicated 4GB,2,4.0,80.0,x86,,36.0,0.054,USD,False,global (base price; some regions cost more),api,https://api.linode.com/v4/linode/types,2026-08-31
linode,g7-premium-2,Premium 4GB,2,4.0,80.0,x86,,43.0,0.0645,USD,False,global (base price; some regions cost more),api,https://api.linode.com/v4/linode/types,2026-08-31
